Common name,Scientific name,No.,No. Back
Grey-headed Kite,Leptodon cayanensis,97,8
White-collared Kite,Leptodon forbesi,19,0
Hook-billed Kite,Chondrohierax uncinatus,31,1
European Honey Buzzard,Pernis apivorus,161,4
Crested Honey Buzzard,Pernis ptilorhynchus,99,10
Barred Honey Buzzard,Pernis celebensis,1,0
Philippine Honey Buzzard,Pernis steerei,1,0
Swallow-tailed Kite,Elanoides forficatus,95,4
Square-tailed Kite,Lophoictinia isura,6,0
Black-breasted Buzzard,Hamirostra melanosternon,1,0
African Cuckoo-Hawk,Aviceda cuculoides,10,1
Madagascar Cuckoo-Hawk,Aviceda madagascariensis,1,0
Jerdon's Baza,Aviceda jerdoni,16,0
Pacific Baza,Aviceda subcristata,23,3
Black Baza,Aviceda leuphotes,7,0
Hooded Vulture,Necrosyrtes monachus,2,0
White-backed Vulture,Gyps africanus,5,0
White-rumped Vulture,Gyps bengalensis,5,0
Indian Vulture,Gyps indicus,1,0
Slender-billed Vulture,Gyps tenuirostris,2,1
Rüppell's Vulture,Gyps rueppelli,7,0
Himalayan Vulture,Gyps himalayensis,2,0
Griffon Vulture,Gyps fulvus,80,123
Cape Vulture,Gyps coprotheres,1,0
Cinereous Vulture,Aegypius monachus,4,0
Crested Serpent Eagle,Spilornis cheela,253,63
Mountain Serpent Eagle,Spilornis kinabaluensis,9,0
Sulawesi Serpent Eagle,Spilornis rufipectus,12,0
Philippine Serpent Eagle,Spilornis holospilus,22,4
Andaman Serpent Eagle,Spilornis elgini,20,9
Philippine Eagle,Pithecophaga jefferyi,7,1
Short-toed Snake Eagle,Circaetus gallicus,87,24
Black-chested Snake Eagle,Circaetus pectoralis,1,0
Brown Snake Eagle,Circaetus cinereus,2,0
Southern Banded Snake Eagle,Circaetus fasciolatus,5,1
Western Banded Snake Eagle,Circaetus cinerascens,6,0
Congo Serpent Eagle,Circaetus spectabilis,20,6
Bateleur,Terathopius ecaudatus,1,0
Bat Hawk,Macheiramphus alcinus,10,0
Papuan Eagle,Harpyopsis novaeguineae,16,4
Crested Eagle,Morphnus guianensis,19,0
Harpy Eagle,Harpia harpyja,73,1
Changeable Hawk-Eagle,Nisaetus cirrhatus,115,15
Flores Hawk-Eagle,Nisaetus floris,4,0
Mountain Hawk-Eagle,Nisaetus nipalensis,21,0
Legge's Hawk-Eagle,Nisaetus kelaarti,3,1
Blyth's Hawk-Eagle,Nisaetus alboniger,17,3
Javan Hawk-Eagle,Nisaetus bartelsi,5,0
Sulawesi Hawk-Eagle,Nisaetus lanceolatus,13,0
Philippine Hawk-Eagle,Nisaetus philippensis,1,0
Pinsker's Hawk-Eagle,Nisaetus pinskeri,1,0
Wallace's Hawk-Eagle,Nisaetus nanus,22,1
Black Hawk-Eagle,Spizaetus tyrannus,176,27
Black-and-white Hawk-Eagle,Spizaetus melanoleucus,26,2
Ornate Hawk-Eagle,Spizaetus ornatus,109,8
Black-and-chestnut Eagle,Spizaetus isidori,24,0
Crowned Eagle,Stephanoaetus coronatus,60,6
Rufous-bellied Eagle,Lophotriorchis kienerii,5,0
Martial Eagle,Polemaetus bellicosus,7,0
Long-crested Eagle,Lophaetus occipitalis,32,4
Black Eagle,Ictinaetus malaiensis,11,0
Lesser Spotted Eagle,Clanga pomarina,65,7
Indian Spotted Eagle,Clanga hastata,8,0
Greater Spotted Eagle,Clanga clanga,41,3
Wahlberg's Eagle,Hieraaetus wahlbergi,7,0
Booted Eagle,Hieraaetus pennatus,69,34
Little Eagle,Hieraaetus morphnoides,5,0
Ayres's Hawk-Eagle,Hieraaetus ayresii,3,1
Tawny Eagle,Aquila rapax,2,0
Steppe Eagle,Aquila nipalensis,13,9
Spanish Imperial Eagle,Aquila adalberti,50,153
Eastern Imperial Eagle,Aquila heliaca,13,0
Gurney's Eagle,Aquila gurneyi,1,0
Golden Eagle,Aquila chrysaetos,148,7
Wedge-tailed Eagle,Aquila audax,3,0
Verreaux's Eagle,Aquila verreauxii,5,0
Cassin's Hawk-Eagle,Aquila africana,3,0
Bonelli's Eagle,Aquila fasciata,21,1
African Hawk-Eagle,Aquila spilogaster,3,0
Double-toothed Kite,Harpagus bidentatus,39,2
Rufous-thighed Kite,Harpagus diodon,32,2
Lizard Buzzard,Kaupifalco monogrammicus,48,4
Gabar Goshawk,Micronisus gabar,45,9
Dark Chanting Goshawk,Melierax metabates,9,2
Eastern Chanting Goshawk,Melierax poliopterus,11,2
Pale Chanting Goshawk,Melierax canorus,14,3
Long-tailed Hawk,Urotriorchis macrourus,22,3
Red Goshawk,Erythrotriorchis radiatus,1,0
Doria's Goshawk,Megatriorchis doriae,2,0
Tiny Hawk,Accipiter superciliosus,27,2
Semicollared Hawk,Accipiter collaris,4,0
Crested Goshawk,Accipiter trivirgatus,53,5
Grey-bellied Hawk,Accipiter poliogaster,24,0
Red-chested Goshawk,Accipiter toussenelii,17,1
African Goshawk,Accipiter tachiro,84,31
Shikra,Accipiter badius,132,16
Levant Sparrowhawk,Accipiter brevipes,5,0
Chinese Sparrowhawk,Accipiter soloensis,19,0
Frances's Sparrowhawk,Accipiter francesiae,13,0
Spot-tailed Sparrowhawk,Accipiter trinotatus,24,0
Grey Goshawk,Accipiter novaehollandiae,21,1
Variable Goshawk,Accipiter hiogaster,47,3
Brown Goshawk,Accipiter fasciatus,34,2
Black-mantled Goshawk,Accipiter melanochlamys,2,0
Pied Goshawk,Accipiter albogularis,5,0
White-bellied Goshawk,Accipiter haplochrous,2,0
Fiji Goshawk,Accipiter rufitorques,3,0
Moluccan Goshawk,Accipiter henicogrammus,11,0
Grey-headed Goshawk,Accipiter poliocephalus,1,0
Red-thighed Sparrowhawk,Accipiter erythropus,2,0
Little Sparrowhawk,Accipiter minullus,25,3
Japanese Sparrowhawk,Accipiter gularis,18,1
Besra,Accipiter virgatus,26,9
Dwarf Sparrowhawk,Accipiter nanus,4,0
Rufous-necked Sparrowhawk,Accipiter erythrauchen,4,0
Collared Sparrowhawk,Accipiter cirrocephalus,21,0
Vinous-breasted Sparrowhawk,Accipiter rhodogaster,5,0
Madagascar Sparrowhawk,Accipiter madagascariensis,6,0
Ovambo Sparrowhawk,Accipiter ovampensis,9,0
Eurasian Sparrowhawk,Accipiter nisus,216,29
Rufous-breasted Sparrowhawk,Accipiter rufiventris,3,0
Sharp-shinned Hawk,Accipiter striatus,42,7
White-breasted Hawk,Accipiter chionogaster,9,0
Plain-breasted Hawk,Accipiter ventralis,20,1
Rufous-thighed Hawk,Accipiter erythronemius,36,1
Cooper's Hawk,Accipiter cooperii,184,26
Gundlach's Hawk,Accipiter gundlachi,2,0
Bicolored Hawk,Accipiter bicolor,56,2
Chilean Hawk,Accipiter chilensis,16,0
Black Sparrowhawk,Accipiter melanoleucus,37,3
Henst's Goshawk,Accipiter henstii,11,0
Northern Goshawk,Accipiter gentilis,724,128
Meyer's Goshawk,Accipiter meyerianus,4,0
Western Marsh Harrier,Circus aeruginosus,345,100
Eastern Marsh Harrier,Circus spilonotus,6,0
Papuan Harrier,Circus spilothorax,2,0
Swamp Harrier,Circus approximans,10,0
African Marsh Harrier,Circus ranivorus,1,0
Reunion Harrier,Circus maillardi,11,0
Malagasy Harrier,Circus macrosceles,7,1
Long-winged Harrier,Circus buffoni,20,0
Spotted Harrier,Circus assimilis,1,0
Black Harrier,Circus maurus,3,0
Hen Harrier,Circus cyaneus,49,5
Northern Harrier,Circus hudsonius,43,6
Cinereous Harrier,Circus cinereus,8,0
Pallid Harrier,Circus macrourus,24,1
Pied Harrier,Circus melanoleucos,1,0
Montagu's Harrier,Circus pygargus,137,5
Red Kite,Milvus milvus,178,41
Black Kite,Milvus migrans,249,260
Yellow-billed Kite,Milvus aegyptius,47,50
Whistling Kite,Haliastur sphenurus,38,34
Brahminy Kite,Haliastur indus,66,9
White-bellied Sea Eagle,Haliaeetus leucogaster,45,6
Sanford's Sea Eagle,Haliaeetus sanfordi,1,1
African Fish Eagle,Haliaeetus vocifer,93,47
Pallas's Fish Eagle,Haliaeetus leucoryphus,8,3
White-tailed Eagle,Haliaeetus albicilla,199,41
Bald Eagle,Haliaeetus leucocephalus,112,25
Steller's Sea Eagle,Haliaeetus pelagicus,11,5
Lesser Fish Eagle,Haliaeetus humilis,10,0
Grey-headed Fish Eagle,Haliaeetus ichthyaetus,31,4
Grasshopper Buzzard,Butastur rufipennis,3,0
White-eyed Buzzard,Butastur teesa,7,0
Rufous-winged Buzzard,Butastur liventer,6,2
Grey-faced Buzzard,Butastur indicus,15,1
Mississippi Kite,Ictinia mississippiensis,28,1
Plumbeous Kite,Ictinia plumbea,50,7
Black-collared Hawk,Busarellus nigricollis,72,5
Snail Kite,Rostrhamus sociabilis,123,12
Slender-billed Kite,Helicolestes hamatus,31,2
Crane Hawk,Geranospiza caerulescens,83,3
Plumbeous Hawk,Cryptoleucopteryx plumbea,31,2
Slate-colored Hawk,Buteogallus schistaceus,50,1
Common Black Hawk,Buteogallus anthracinus,75,9
Cuban Black Hawk,Buteogallus gundlachii,4,0
Rufous Crab Hawk,Buteogallus aequinoctialis,16,2
Savanna Hawk,Buteogallus meridionalis,61,6
White-necked Hawk,Buteogallus lacernulatus,2,0
Great Black Hawk,Buteogallus urubitinga,118,8
Solitary Eagle,Buteogallus solitarius,12,0
Chaco Eagle,Buteogallus coronatus,36,0
Barred Hawk,Morphnarchus princeps,40,5
Roadside Hawk,Rupornis magnirostris,626,438
Harris's Hawk,Parabuteo unicinctus,89,33
White-rumped Hawk,Parabuteo leucorrhous,65,0
White-tailed Hawk,Geranoaetus albicaudatus,60,2
Variable Hawk,Geranoaetus polyosoma,21,0
Black-chested Buzzard-Eagle,Geranoaetus melanoleucus,45,2
Mantled Hawk,Pseudastur polionotus,20,0
White Hawk,Pseudastur albicollis,34,1
Grey-backed Hawk,Pseudastur occidentalis,23,0
Semiplumbeous Hawk,Leucopternis semiplumbeus,26,2
Black-faced Hawk,Leucopternis melanops,46,2
White-browed Hawk,Leucopternis kuhli,32,18
Grey Hawk,Buteo plagiatus,139,178
Grey-lined Hawk,Buteo nitidus,150,28
Red-shouldered Hawk,Buteo lineatus,141,161
Ridgway's Hawk,Buteo ridgwayi,11,0
Broad-winged Hawk,Buteo platypterus,127,17
White-throated Hawk,Buteo albigula,11,0
Short-tailed Hawk,Buteo brachyurus,61,4
Hawaiian Hawk,Buteo solitarius,3,0
Swainson's Hawk,Buteo swainsoni,44,6
Galapagos Hawk,Buteo galapagoensis,3,0
Zone-tailed Hawk,Buteo albonotatus,53,7
Red-tailed Hawk,Buteo jamaicensis,187,50
Rufous-tailed Hawk,Buteo ventralis,10,0
Ferruginous Hawk,Buteo regalis,19,3
Rough-legged Buzzard,Buteo lagopus,36,4
Upland Buzzard,Buteo hemilasius,4,0
Eastern Buzzard,Buteo japonicus,9,3
Himalayan Buzzard,Buteo refectus,5,0
Long-legged Buzzard,Buteo rufinus,22,2
Cape Verde Buzzard,Buteo bannermani,1,1
Common Buzzard,Buteo buteo,1019,800
Forest Buzzard,Buteo trizonatus,7,0
Mountain Buzzard,Buteo oreophilus,19,1
Red-necked Buzzard,Buteo auguralis,1,0
Madagascar Buzzard,Buteo brachypterus,14,6
Augur Buzzard,Buteo augur,21,2
Jackal Buzzard,Buteo rufofuscus,10,2
Greater Sooty Owl,Tyto tenebricosa,29,1
Lesser Sooty Owl,Tyto multipunctata,12,0
Minahassa Masked Owl,Tyto inexspectata,4,0
Taliabu Masked Owl,Tyto nigrobrunnea,2,0
Moluccan Masked Owl,Tyto sororcula,6,0
Australian Masked Owl,Tyto novaehollandiae,27,1
Sulawesi Masked Owl,Tyto rosenbergii,16,1
Red Owl,Tyto soumagnei,1,0
Western Barn Owl,Tyto alba,1210,87
American Barn Owl,Tyto furcata,141,5
Eastern Barn Owl,Tyto javanica,64,2
Andaman Masked Owl,Tyto deroepstorffi,5,0
Ashy-faced Owl,Tyto glaucops,2,0
African Grass Owl,Tyto capensis,2,0
Eastern Grass Owl,Tyto longimembris,5,0
Oriental Bay Owl,Phodilus badius,68,3
Sri Lanka Bay Owl,Phodilus assimilis,12,0
Papuan Hawk-Owl,Uroglaux dimorpha,9,1
Rufous Owl,Ninox rufa,11,0
Powerful Owl,Ninox strenua,17,3
Barking Owl,Ninox connivens,44,6
Sumba Boobook,Ninox rudolfi,14,0
Australian Boobook,Ninox boobook,100,26
Rote Boobook,Ninox rotiensis,12,0
Timor Boobook,Ninox fusca,21,0
Alor Boobook,Ninox plesseni,18,0
Morepork,Ninox novaeseelandiae,45,10
Northern Boobook,Ninox japonica,50,6
Brown Hawk-Owl,Ninox scutulata,191,33
Hume's Hawk-Owl,Ninox obscura,16,1
Chocolate Boobook,Ninox randi,6,1
Andaman Hawk-Owl,Ninox affinis,16,1
Luzon Hawk-Owl,Ninox philippensis,55,5
Mindanao Hawk-Owl,Ninox spilocephala,13,1
Camiguin Hawk-Owl,Ninox leventisi,1,0
Sulu Hawk-Owl,Ninox reyi,2,0
Cebu Hawk-Owl,Ninox rumseyi,18,0
Romblon Hawk-Owl,Ninox spilonotus,4,0
Mindoro Hawk-Owl,Ninox mindorensis,3,0
Little Sumba Hawk-Owl,Ninox sumbaensis,22,3
Togian Boobook,Ninox burhani,9,0
Ochre-bellied Boobook,Ninox ochracea,21,3
Cinnabar Boobook,Ninox ios,31,1
Halmahera Boobook,Ninox hypogramma,12,5
Seram Boobook,Ninox squamipila,3,0
Tanimbar Boobook,Ninox forbesi,8,0
Christmas Boobook,Ninox natalis,4,0
Manus Boobook,Ninox meeki,1,0
Papuan Boobook,Ninox theomacha,31,0
Speckled Boobook,Ninox punctulata,15,1
New Britain Boobook,Ninox odiosa,1,0
New Ireland Boobook,Ninox variegata,1,0
Bare-legged Owl,Margarobyas lawrencii,1,2
Collared Owlet,Taenioptynx brodiei,149,89
Sunda Owlet,Taenioptynx sylvaticus,12,0
Elf Owl,Micrathene whitneyi,87,24
Long-whiskered Owlet,Xenoglaux loweryi,38,1
Boreal Owl,Aegolius funereus,747,73
Northern Saw-whet Owl,Aegolius acadicus,332,30
Unspotted Saw-whet Owl,Aegolius ridgwayi,31,0
Buff-fronted Owl,Aegolius harrisii,100,5
Burrowing Owl,Athene cunicularia,172,6
Spotted Owlet,Athene brama,50,7
Little Owl,Athene noctua,1397,248
White-browed Owl,Athene superciliaris,15,0
Forest Owlet,Athene blewitti,27,0
West Solomons Owl,Athene jacquinoti,11,0
Guadalcanal Owl,Athene granti,6,0
Malaita Owl,Athene malaitae,1,0
Makira Owl,Athene roseoaxillaris,5,0
Northern Hawk-Owl,Surnia ulula,88,5
Eurasian Pygmy Owl,Glaucidium passerinum,746,76
Pearl-spotted Owlet,Glaucidium perlatum,95,17
Red-chested Owlet,Glaucidium tephronotum,19,1
Sjöstedt's Barred Owlet,Glaucidium sjostedti,9,1
Asian Barred Owlet,Glaucidium cuculoides,177,31
Javan Owlet,Glaucidium castanopterum,22,1
Jungle Owlet,Glaucidium radiatum,77,7
Chestnut-backed Owlet,Glaucidium castanotum,29,4
African Barred Owlet,Glaucidium capense,62,6
Albertine Owlet,Glaucidium albertinum,2,0
Northern Pygmy Owl,Glaucidium californicum,203,29
Mountain Pygmy Owl,Glaucidium gnoma,91,25
Baja Pygmy Owl,Glaucidium hoskinsii,16,3
Guatemalan Pygmy Owl,Glaucidium cobanense,17,0
Costa Rican Pygmy Owl,Glaucidium costaricanum,19,2
Cloud-forest Pygmy Owl,Glaucidium nubicola,36,3
Andean Pygmy Owl,Glaucidium jardinii,71,8
Yungas Pygmy Owl,Glaucidium bolivianum,38,8
Colima Pygmy Owl,Glaucidium palmarum,38,74
Tamaulipas Pygmy Owl,Glaucidium sanchezi,16,1
Central American Pygmy Owl,Glaucidium griseiceps,41,3
Subtropical Pygmy Owl,Glaucidium parkeri,28,8
Amazonian Pygmy Owl,Glaucidium hardyi,96,127
East Brazilian Pygmy Owl,Glaucidium minutissimum,96,11
Pernambuco Pygmy Owl,Glaucidium mooreorum,1,0
Ferruginous Pygmy Owl,Glaucidium brasilianum,539,497
Pacific Pygmy Owl,Glaucidium peruanum,80,46
Austral Pygmy Owl,Glaucidium nana,69,4
Cuban Pygmy Owl,Glaucidium siju,14,1
Giant Scops Owl,Otus gurneyi,14,0
White-fronted Scops Owl,Otus sagittatus,24,5
Reddish Scops Owl,Otus rufescens,40,6
Serendib Scops Owl,Otus thilohoffmanni,5,1
Sandy Scops Owl,Otus icterorhynchus,6,1
Sokoke Scops Owl,Otus ireneae,2,0
Andaman Scops Owl,Otus balli,18,0
Flores Scops Owl,Otus alfredi,23,0
Mountain Scops Owl,Otus spilocephalus,142,22
Javan Scops Owl,Otus angelinae,15,0
Mindanao Scops Owl,Otus mirus,11,0
Luzon Scops Owl,Otus longicornis,6,1
Mindoro Scops Owl,Otus mindorensis,2,0
Sao Tome Scops Owl,Otus hartlaubi,17,15
Torotoroka Scops Owl,Otus madagascariensis,25,1
Rainforest Scops Owl,Otus rutilus,24,0
Mayotte Scops Owl,Otus mayottensis,3,0
Karthala Scops Owl,Otus pauliani,7,0
Anjouan Scops Owl,Otus capnodes,4,0
Moheli Scops Owl,Otus moheliensis,4,0
Pemba Scops Owl,Otus pembaensis,19,0
Eurasian Scops Owl,Otus scops,691,119
Cyprus Scops Owl,Otus cyprius,43,16
Pallid Scops Owl,Otus brucei,16,2
Arabian Scops Owl,Otus pamelae,53,4
African Scops Owl,Otus senegalensis,107,28
Annobon Scops Owl,Otus feae,3,0
Socotra Scops Owl,Otus socotranus,3,0
Oriental Scops Owl,Otus sunia,119,17
Ryukyu Scops Owl,Otus elegans,89,7
Moluccan Scops Owl,Otus magicus,62,5
Biak Scops Owl,Otus beccarii,5,0
Sulawesi Scops Owl,Otus manadensis,35,8
Banggai Scops Owl,Otus mendeni,10,0
Sangihe Scops Owl,Otus collari,3,0
Mantanani Scops Owl,Otus mantananensis,30,2
Seychelles Scops Owl,Otus insularis,5,0
Nicobar Scops Owl,Otus alius,2,0
Simeulue Scops Owl,Otus umbra,20,0
Enggano Scops Owl,Otus enganensis,1,0
Mentawai Scops Owl,Otus mentawi,5,0
Rajah Scops Owl,Otus brookii,3,0
Indian Scops Owl,Otus bakkamoena,51,1
Collared Scops Owl,Otus lettia,144,17
Japanese Scops Owl,Otus semitorques,48,1
Sunda Scops Owl,Otus lempiji,86,8
Philippine Scops Owl,Otus megalotis,5,0
Negros Scops Owl,Otus nigrorum,7,0
Everett's Scops Owl,Otus everetti,6,0
Palawan Scops Owl,Otus fuliginosus,9,0
Wallace's Scops Owl,Otus silvicola,11,0
Rinjani Scops Owl,Otus jolandae,13,1
Palau Owl,Otus podarginus,1,0
Northern White-faced Owl,Ptilopsis leucotis,26,0
Southern White-faced Owl,Ptilopsis granti,16,0
Jamaican Owl,Asio grammicus,5,1
Striped Owl,Asio clamator,145,3
Long-eared Owl,Asio otus,1397,115
Madagascar Owl,Asio madagascariensis,7,0
Stygian Owl,Asio stygius,61,4
Short-eared Owl,Asio flammeus,272,23
Marsh Owl,Asio capensis,18,1
Fearful Owl,Asio solomonensis,11,0
Snowy Owl,Bubo scandiacus,24,2
Great Horned Owl,Bubo virginianus,509,184
Lesser Horned Owl,Bubo magellanicus,44,1
Eurasian Eagle-Owl,Bubo bubo,832,109
Indian Eagle-Owl,Bubo bengalensis,8,0
Pharaoh Eagle-Owl,Bubo ascalaphus,22,0
Cape Eagle-Owl,Bubo capensis,4,0
Arabian Eagle-Owl,Bubo milesi,24,0
Greyish Eagle-Owl,Bubo cinerascens,14,0
Spotted Eagle-Owl,Bubo africanus,61,29
Fraser's Eagle-Owl,Bubo poensis,6,0
Usambara Eagle-Owl,Bubo vosseleri,11,0
Verreaux's Eagle-Owl,Bubo lacteus,30,8
Shelley's Eagle-Owl,Bubo shelleyi,2,0
Barred Eagle-Owl,Bubo sumatranus,36,3
Spot-bellied Eagle-Owl,Bubo nipalensis,35,0
Dusky Eagle-Owl,Bubo coromandus,15,0
Akun Eagle-Owl,Bubo leucostictus,10,0
Philippine Eagle-Owl,Bubo philippensis,7,0
Blakiston's Fish Owl,Bubo blakistoni,18,0
Pel's Fishing Owl,Scotopelia peli,22,1
Rufous Fishing Owl,Scotopelia ussheri,6,0
Vermiculated Fishing Owl,Scotopelia bouvieri,12,1
Brown Fish Owl,Ketupa zeylonensis,22,3
Tawny Fish Owl,Ketupa flavipes,7,0
Buffy Fish Owl,Ketupa ketupu,17,1
Flammulated Owl,Psiloscops flammeolus,118,21
Puerto Rican Owl,Gymnasio nudipes,19,3
Whiskered Screech Owl,Megascops trichopsis,93,27
Bare-shanked Screech Owl,Megascops clarkii,24,1
White-throated Screech Owl,Megascops albogularis,92,8
Tropical Screech Owl,Megascops choliba,377,38
Bearded Screech Owl,Megascops barbarus,6,0
Pacific Screech Owl,Megascops cooperi,36,1
Western Screech Owl,Megascops kennicottii,226,54
Eastern Screech Owl,Megascops asio,139,15
Balsas Screech Owl,Megascops seductus,16,3
Middle American Screech Owl,Megascops guatemalae,33,10
Vermiculated Screech Owl,Megascops vermiculatus,7,0
Koepcke's Screech Owl,Megascops koepckeae,67,0
Rufescent Screech Owl,Megascops ingens,101,6
Cinnamon Screech Owl,Megascops petersoni,39,1
Cloud-forest Screech Owl,Megascops marshalli,23,0
Yungas Screech Owl,Megascops hoyi,24,2
Choco Screech Owl,Megascops centralis,52,1
Foothill Screech Owl,Megascops roraimae,75,1
Long-tufted Screech Owl,Megascops sanctaecatarinae,67,3
Santa Marta Screech Owl,Megascops gilesi,43,0
West Peruvian Screech Owl,Megascops roboratus,55,5
Tawny-bellied Screech Owl,Megascops watsonii,201,235
Black-capped Screech Owl,Megascops atricapilla,114,2
Spectacled Owl,Pulsatrix perspicillata,194,20
Tawny-browed Owl,Pulsatrix koeniswaldiana,121,7
Band-bellied Owl,Pulsatrix melanota,85,7
Crested Owl,Lophostrix cristata,97,40
Spotted Wood Owl,Strix seloputo,41,5
Mottled Wood Owl,Strix ocellata,49,1
Brown Wood Owl,Strix leptogrammica,112,10
Tawny Owl,Strix aluco,3123,997
Maghreb Owl,Strix mauritanica,14,0
Himalayan Owl,Strix nivicolum,53,3
Desert Owl,Strix hadorami,32,0
Omani Owl,Strix butleri,1,0
Spotted Owl,Strix occidentalis,150,17
Barred Owl,Strix varia,240,34
Cinereous Owl,Strix sartorii,9,0
Fulvous Owl,Strix fulvescens,38,1
Rusty-barred Owl,Strix hylophila,87,1
Chaco Owl,Strix chacoensis,15,0
Rufous-legged Owl,Strix rufipes,44,1
Ural Owl,Strix uralensis,344,57
Pere David's Owl,Strix davidi,5,0
Great Grey Owl,Strix nebulosa,104,8
African Wood Owl,Strix woodfordii,170,6
Mottled Owl,Strix virgata,367,73
Black-and-white Owl,Strix nigrolineata,61,4
Black-banded Owl,Strix huhula,190,41
Rufous-banded Owl,Strix albitarsis,158,10
Speckled Mousebird,Colius striatus,79,39
White-headed Mousebird,Colius leucocephalus,5,0
Red-backed Mousebird,Colius castanotus,6,0
White-backed Mousebird,Colius colius,28,10
Blue-naped Mousebird,Urocolius macrourus,45,42
Red-faced Mousebird,Urocolius indicus,50,115
Cuckoo Roller,Leptosomus discolor,48,40
Eared Quetzal,Euptilotis neoxenus,34,2
Pavonine Quetzal,Pharomachrus pavoninus,75,129
Golden-headed Quetzal,Pharomachrus auriceps,167,105
White-tipped Quetzal,Pharomachrus fulgidus,40,5
Resplendent Quetzal,Pharomachrus mocinno,70,25
Crested Quetzal,Pharomachrus antisianus,65,30
Cuban Trogon,Priotelus temnurus,10,19
Hispaniolan Trogon,Priotelus roseigaster,10,4
Lattice-tailed Trogon,Trogon clathratus,21,2
Slaty-tailed Trogon,Trogon massena,90,78
Choco Trogon,Trogon comptus,47,27
Ecuadorian Trogon,Trogon mesurus,22,23
Black-tailed Trogon,Trogon melanurus,187,313
Black-headed Trogon,Trogon melanocephalus,60,21
Citreoline Trogon,Trogon citreolus,43,79
White-tailed Trogon,Trogon chionurus,99,48
Baird's Trogon,Trogon bairdii,40,14
Green-backed Trogon,Trogon viridis,320,449
Gartered Trogon,Trogon caligatus,138,120
Amazonian Trogon,Trogon ramonianus,77,116
Guianan Trogon,Trogon violaceus,57,45
Blue-crowned Trogon,Trogon curucui,144,236
Surucua Trogon,Trogon surrucura,192,239
Black-throated Trogon,Trogon rufus,268,172
Elegant Trogon,Trogon elegans,153,497
Mountain Trogon,Trogon mexicanus,92,170
Collared Trogon,Trogon collaris,307,314
Masked Trogon,Trogon personatus,209,97
Narina Trogon,Apaloderma narina,93,32
Bare-cheeked Trogon,Apaloderma aequatoriale,8,4
Bar-tailed Trogon,Apaloderma vittatum,73,68
Javan Trogon,Apalharpactes reinwardtii,12,0
Sumatran Trogon,Apalharpactes mackloti,7,1
